wavelength (nm),irradiance (W/m^2/nm),
287.2,0.353846592,
287.3,0.352244148,
287.4,0.348088214,
287.5,0.341311084,
287.6,0.332240769,
287.7,0.321636656,
287.8,0.310646305,
287.9,0.300671041,
288,0.293162378,
288.1,0.289371402,
288.2,0.290105192,
288.3,0.295561234,
288.4,0.305286173,
288.5,0.318297834,
288.6,0.333327118,
288.7,0.349119135,
288.8,0.364708343,
288.9,0.379590665,
289,0.393752584,
289.1,0.407572195,
289.2,0.421636067,
289.3,0.436530058,
289.4,0.452663644,
289.5,0.47015963,
289.6,0.488822409,
289.7,0.508173441,
289.8,0.527534483,
289.9,0.546132843,
290,0.563197614,
290.1,0.57805418,
290.2,0.590189195,
290.3,0.599298713,
290.4,0.605321832,
290.5,0.608442618,
290.6,0.609066192,
290.7,0.607760619,
290.8,0.605157056,
290.9,0.601843431,
291,0.598267282,
291.1,0.59467373,
291.2,0.591118441,
291.3,0.587518075,
291.4,0.583737499,
291.5,0.579662199,
291.6,0.575230025,
291.7,0.570418677,
291.8,0.565203568,
291.9,0.559527274,
292,0.553322735,
292.1,0.54657185,
292.2,0.539406815,
292.3,0.532188669,
292.4,0.525530507,
292.5,0.520223465,
292.6,0.517062426,
292.7,0.516626506,
292.8,0.519069819,
292.9,0.523986948,
293,0.530419532,
293.1,0.537025553,
293.2,0.542360638,
293.3,0.54522095,
293.4,0.544939425,
293.5,0.541549631,
293.6,0.535759822,
293.7,0.528756545,
293.8,0.521873204,
293.9,0.516237332,
294,0.512505799,
294.1,0.510753476,
294.2,0.510537399,
294.3,0.511123438,
294.4,0.511775655,
294.5,0.512020035,
294.6,0.51180281,
294.7,0.511481092,
294.8,0.5116744,
294.9,0.513028388,
295,0.515982471,
295.1,0.520637106,
295.2,0.526741469,
295.3,0.533805519,
295.4,0.541248883,
295.5,0.548518671,
295.6,0.555135022,
295.7,0.560646592,
295.8,0.56454212,
295.9,0.56621222,
296,0.564974644,
296.1,0.560205486,
296.2,0.551544936,
296.3,0.5391028,
296.4,0.523592538,
296.5,0.506331702,
296.6,0.489087579,
296.7,0.473816692,
296.8,0.462342207,
296.9,0.456060911,
297,0.455734368,
297.1,0.461378923,
297.2,0.472242082,
297.3,0.486861891,
297.4,0.503201324,
297.5,0.518857039,
297.6,0.531375034,
297.7,0.538622312,
297.8,0.539184564,
297.9,0.532678668,
298,0.519904705,
298.1,0.502753845,
298.2,0.483891253,
298.3,0.466258966,
298.4,0.452515643,
298.5,0.444534854,
298.6,0.44308234,
298.7,0.447732729,
298.8,0.457031579,
298.9,0.468868333,
299,0.480941296,
299.1,0.491203041,
299.2,0.498176327,
299.3,0.5010781,
299.4,0.49974758,
299.5,0.494485286,
299.6,0.485867286,
299.7,0.474632466,
299.8,0.461660718,
299.9,0.447992415,
300,0.434808426,
300.1,0.423335539,
300.2,0.41466402,
300.3,0.409544831,
300.4,0.408266673,
300.5,0.410636185,
300.6,0.416087352,
300.7,0.423840445,
300.8,0.433042016,
300.9,0.442827029,
301,0.452317879,
301.1,0.460591533,
301.2,0.466700471,
301.3,0.4697768,
301.4,0.469216077,
301.5,0.464899414,
301.6,0.457351088,
301.7,0.447794551,
301.8,0.438024943,
301.9,0.430128804,
302,0.426105916,
302.1,0.427498457,
302.2,0.435105167,
302.3,0.448874236,
302.4,0.467973484,
302.5,0.491002939,
302.6,0.516276984,
302.7,0.542082969,
302.8,0.566878364,
302.9,0.589386559,
303,0.608615816,
303.1,0.623837968,
303.2,0.634565805,
303.3,0.640559312,
303.4,0.641899243,
303.5,0.639046764,
303.6,0.632885455,
303.7,0.62467705,
303.8,0.615902737,
303.9,0.608018567,
304,0.602198118,
304.1,0.599136485,
304.2,0.598972449,
304.3,0.601370605,
304.4,0.605705721,
304.5,0.611276435,
304.6,0.617469444,
304.7,0.623800554,
304.8,0.629840616,
304.9,0.635070471,
305,0.638779645,
305.1,0.640084778,
305.2,0.638107297,
305.3,0.632260352,
305.4,0.622547401,
305.5,0.609718399,
305.6,0.595214102,
305.7,0.580874869,
305.8,0.569259846,
305.9,0.559666623,
306,0.554158684,
306.1,0.552867713,
306.2,0.554667491,
306.3,0.558735528,
306.4,0.564166323,
306.5,0.570396278,
306.6,0.577230075,
306.7,0.58470409,
306.8,0.592855818,
306.9,0.601541315,
307,0.61036658,
307.1,0.618762569,
307.2,0.626136648,
307.3,0.632056024,
307.4,0.636345672,
307.5,0.639100173,
307.6,0.640618227,
307.7,0.641294591,
307.8,0.641515913,
307.9,0.641584319,
308,0.64167908,
308.1,0.641808338,
308.2,0.641771393,
308.3,0.641139267,
308.4,0.639274769,
308.5,0.635427336,
308.6,0.62890096,
308.7,0.61926147,
308.8,0.60650492,
308.9,0.59114133,
309,0.574133385,
309.1,0.556712519,
309.2,0.54012426,
309.3,0.525401438,
309.4,0.51323862,
309.5,0.504012032,
309.6,0.497927051,
309.7,0.495223173,
309.8,0.496344059,
